日期	服装名称	价格/件	库存数量	销售量/每日
1号	羽绒服	253.6	500	10
2号	牛仔裤	86.3	600	60
3号	风衣	96.8	335	43
4号	皮草	135.9	855	63
5号	T血	65.8	632	63
6号	衬衫	49.3	562	120
7号	牛仔裤	86.3	600	72
8号	羽绒服	253.6	500	69
9号	牛仔裤	86.3	600	35
10号	羽绒服	253.6	500	140
11号	牛仔裤	86.3	600	90
12号	皮草	135.9	855	24
13号	T血	65.8	632	45
14号	风衣	96.8	335	25
15号	牛仔裤	86.3	600	60
16号	T血	65.8	632	129
17号	羽绒服	253.6	500	10
18号	风衣	96.8	335	43
19号	T血	65.8	632	63
20号	牛仔裤	86.3	600	60
21号	皮草	135.9	855	63
22号	风衣	96.8	335	60
23号	T血	65.8	632	58
24号	牛仔裤	86.3	600	140
25号	T血	65.8	632	48
26号	风衣	96.8	335	43
27号	皮草	135.9	855	57
28号	羽绒服	253.6	500	10
29号	T血	65.8	632	63
30号	风衣	96.8	335	78
